status,category,question,1,2,3,4,correct,answer description
1,Sens Marin,A combien de mètre correspond un mile nautique ?,1000,1698,539,1852,,
0,,As-tu effectivement marqué ton matériel ?,,,,,,
1,,As-tu effectivement marqué ton matériel ?,,,,,,
0,Sens Marin,Autour d'une dépression le vent,,,,,,
0,Sens Marin,"Avant le kitesurf, as-tu pratiqué un autre sport nautique (en mer) de manière régulière, si oui lequel as-tu le plus pratiqué ?",,,,,,
3,Priorité,"Avant une manœuvre (changement de cap, transition, saut, etc) le plus important est de ",Vérifier qu'il n'y a pas une risée au vent,Réduire sa vitesse,Prier pour que tout se passe bien,Vérifier qu'il n'y a pas de risque de collision avec un autre usager du spot,4,
1,,"Avantages et risques des différentes orientations du vent (On, Off, Side, etc)",,,,,,
1,Priorité,Babord / Tribord,,,,,,
0,Sens Marin,Brise thermique ?,,,,,,
1,Compétences,Comment situerais-tu tes compétences en nage tractée upwind (orientée) ?,,,,,,
1,,Connais-tu les caractéristiques et les dangers d'un cumulonimbus ?,,,,,,
1,,Critères pour choisir un spot,,,,,,
2,Sens Marin,"Dans le jargon maritime quel est le sens de l'expression ""Petit largue"" ?",,,,,,
2,Sens Marin,"Dans le jargon maritime quel est le sens de terme ""Abattre""",,Eloigner l'axe du bateau du lit du vent,,,,
3,Sens Marin,"Dans le jargon maritime quel est le sens du terme ""Border""",Monter à bord,Lâcher / Détendre,Tirer / Tendre,Mettre 2 bateaux bord à bord,3,
2,Sens Marin,"Dans le jargon maritime quel est le sens de terme ""Lofer""",,,,,,
3,Sens Marin,"Dans le jargon maritime quel est le sens du terme""Choquer""",Etonner,Lâcher / Détendre,Tirer / Tendre,Faire sonner la cloche du navire,2,
1,Compétences,"Dans l'hypothèse où le jour de ta navigation, les prévisions météo annoncent de l'orage :",,,,,,
1,,Décollage / atterrissage avec assistant,,,,,,
1,,Décollage / atterrissage solo,,,,,,
3,Compétences,"En cas de perte de matériel en mer (planche, aile), il est indispensable de prévenir",le CROSS,Le service objet trouvé de la commune,La capitainerie la plus proche,Le Snosan,1,Il est indispensable d'appeler le CROSS pour prévenir de la perte de ton matériel en mer afin d'éviter le déclenchement de secours inutile ?
1,Priorité,"Entre ces 2 kitesurfers, lequel est priorItaire ? Celui qui surfe la vague",,,,,,
1,Priorité,"Entre ces 2 kitesurfers, lequel est priorItaire ? Débutant",,,,,,
1,Priorité,"Entre ces 2 kitesurfers, lequel est priorItaire ? Moins manoeuvrant",,,,,,
1,Priorité,"Entre ces 2 kitesurfers, lequel est priorItaire ? Rattrappé",,,,,,
1,Priorité,"Entre ces 2 kitesurfers, lequel est priorItaire ? Sortie de plage",,,,,,
1,Priorité,"Entre ces 2 kitesurfers, lequel est priorItaire ? Sous le vent / Au vent",,,,,,
1,,Explication des dangers deathloop,,,,,,
0,Sens Marin,Force de Coriolis,,,,,,
1,,"Gonfler une aile, dévriller les lignes et les connecter au kite",,,,,,
2,Compétences,Il est important d'emporter un moyen de communication pendant les navigations,Vent Off,Solo,Downwind,Eloignée du point de départ,,
0,,Informations pour avoir les prévisions météo avant une session,,,,,,
2,,Le trim a pour fonction de ,Réduire la surface de l'aile,Freiner grâce à une prise de carre,Changer l'incidence de l'aile,Dévriller les lignes avant,,
1,Priorité,Lever l'aile,,,,,,
3,,"Lors d'un décollage avec assistant, qui doit se déplacer pour trouver le bon angle par rapport au vent",Le rider,Le rider et l'assistant,Ni l'un ni l'autre,Le beach marshall,,
G,,"Lors d'une nage tractée orientée (pour récupérer sa planche par exemple), le bon angle par rapport au vent est ",Bout,Près,Travers,largue,2,
1,,"Lorsque tu pars naviguer, préviens-tu un proche en lui indiquant le lieu et la durée de ta navigation ?",,,,,,
1,,Maîtrises-tu la technique du Self rescue ?,,,,,,
1,,Matériel obligatoire à avoir sur soi lors d'une navigation,,,,,,
2,Sens Marin,Nœud de chaise,,,,,,
E,,Pendant tes navigations en kitesurf emportes-tu un moyen de repérage individuel (flashlight ou cyalume) ?,,,,,,
E,,"Pendant tes navigations, emportes-tu un coupe-fil ou un couteau ?",,,,,,
E,,"Penses-tu maîtriser la technique pour ramener une planche récupérée en mer, tout en navigant ?",,,,,,
E,,Penses-tu maîtriser une ou plusieurs techniques pour le décollage / atterrissage solo ?,,,,,,
3,Compétences,Pour déclencher les secours en mer quel est le n° à composer à partir d'un téléphone portable ? ,112,196,15,17,2,
E,,"Pour t'entrainer ou vérifier qu'ils fonctionnent, déclenches-tu tes largueurs (chicken loop et leash d'aile) ?",,,,,,
1,,"que d'un point de vue légal, quand tu navigues en kitesurf, il est obligatoire d'avoir un moyen de repérage individuel (flashlight ou cyalume) ?",,,,,,
3,Compétences,Quel est l'emplacement le plus sûr pour connecter le leash au harnais,A l'arrière,Sur le côté droit pour les droitiers et inversement,A l'avant,Au coupe-ligne,2,
3,Sens Marin,Quelle est la couleur associée à bâbord en mer ?,Rouge,Bleu,Jaune et noir,Vert,1,
E,,"qu'en théorie, il est interdit de naviguer à plus de 5 nœuds dans la zone des 300m du rivage ?",,,,,,
E,,qu'il est désormais obligatoire que tes coordonnées soient indiquées sur tes ailes ?,,,,,,
E,,Ramener un rider ayant perdu son matériel,,,,,,
0,,Ramener une planche (trouvée en mer),,,,,,
1,,Risques liés à l'utilisation du leash de planche,,,,,,
1,,Risques liés au leash d'aile accroché à l'arrière du harnais,,,,,,
E,,Self-rescue,,,,,,
1,Sens Marin,Tribord amure,,,,,,
2,,Un casque protège,du froid,du soleil,des chocs,,,
1,,Utilisation du trim,,,,,,
G,,"Zones autorisées et interdites (balisage, chenal, etc)",,,,,,